EOLI,RP_TPP,RT_TPP,AP_TPP,AT_TPP,RP_TPS,RT_TPS,AP_TPS,AT_TPS
1.62,3289.473684,245.6736864,2293.577982,464.2695091,6578.947368,491.3473728,1893.779985,1392.808527
1.63,3378.378378,246.4456378,2304.147465,467.5745614,6756.756757,492.8912756,1911.274395,1402.723684
1.64,3472.222222,247.2212333,2314.814815,470.9150319,6944.444444,494.4424667,1929.012346,1412.745096
1.65,3571.428571,248.000496,2325.581395,474.2914284,7142.857143,496.000992,1946.998378,1422.874285
1.66,3676.470588,248.7834489,2336.448598,477.7042679,7352.941176,497.5668979,1965.237139,1433.112804
1.67,3787.878788,249.5701155,2347.41784,481.1540769,7575.757576,499.140231,1983.733386,1443.462231
1.68,3906.25,250.3605191,2358.490566,484.6413912,7812.5,500.7210383,2002.49199,1453.924174
1.69,4032.258065,251.1546837,2369.668246,488.1667565,8064.516129,502.3093673,2021.517935,1464.500269
1.7,4166.666667,251.9526329,2380.952381,491.7307283,8333.333333,503.9052658,2040.816327,1475.192185
1.71,4310.344828,252.754391,2392.344498,495.3338724,8620.689655,505.508782,2060.39239,1486.001617
1.72,4464.285714,253.5599821,2403.846154,498.976765,8928.571429,507.1199643,2080.251479,1496.930295
1.73,4629.62963,254.3694309,2415.458937,502.6599929,9259.259259,508.7388618,2100.399076,1507.979979
1.74,4807.692308,255.1827619,2427.184466,506.3841538,9615.384615,510.3655238,2120.840796,1519.152461
1.75,5000,256,2439.02439,510.1498565,10000,512,2141.582391,1530.44957
1.76,5208.333333,256.8211703,2450.980392,513.9577212,10416.66667,513.6423406,2162.629758,1541.873163
1.77,5434.782609,257.646298,2463.054187,517.8083795,10869.56522,515.292596,2183.988934,1553.425138
1.78,5681.818182,258.4754086,2475.247525,521.7024752,11363.63636,516.9508173,2205.666111,1565.107425
1.79,5952.380952,259.3085279,2487.562189,525.640664,11904.7619,518.6170558,2227.667632,1576.921992
1.8,6250,260.1456816,2500,529.6236142,12500,520.2913632,2250,1588.870842
1.81,6578.947368,260.9868958,2512.562814,533.6520066,13157.89474,521.9737917,2272.669882,1600.95602
1.82,6944.444444,261.832197,2525.252525,537.7265352,13888.88889,523.664394,2295.684114,1613.179606
1.83,7352.941176,262.6816115,2538.071066,541.8479073,14705.88235,525.363223,2319.049705,1625.543722
1.84,7812.5,263.5351661,2551.020408,546.0168435,15625,527.0703323,2342.773844,1638.050531
1.85,8333.333333,264.3928878,2564.102564,550.2340787,16666.66667,528.7857757,2366.863905,1650.702236
1.86,8928.571429,265.2548038,2577.319588,554.5003619,17857.14286,530.5096075,2391.327452,1663.501086
1.87,9615.384615,266.1209413,2590.673575,558.8164565,19230.76923,532.2418826,2416.172246,1676.44937
1.88,10416.66667,266.9913281,2604.166667,563.1831412,20833.33333,533.9826562,2441.40625,1689.549423
1.89,11363.63636,267.865992,2617.801047,567.6012094,22727.27273,535.731984,2467.037636,1702.803628
1.9,12500,268.744961,2631.578947,572.0714708,25000,537.4899221,2493.074792,1716.214412
1.91,13888.88889,269.6282635,2645.502646,576.5947506,27777.77778,539.256527,2519.526329,1729.784252
1.92,15625,270.515928,2659.574468,581.1718905,31250,541.031856,2546.401086,1743.515671
1.93,17857.14286,271.4079832,2673.796791,585.8037491,35714.28571,542.8159664,2573.708141,1757.411247
1.94,20833.33333,272.3044582,2688.172043,590.4912021,41666.66667,544.6089163,2601.456816,1771.473606
1.95,25000,273.2053821,2702.702703,595.2351427,50000,546.4107643,2629.656684,1785.705428
1.96,31250,274.1107846,2717.391304,600.0364822,62500,548.2215692,2658.31758,1800.109447
1.97,41666.66667,275.0206953,2732.240437,604.8961504,83333.33333,550.0413906,2687.44961,1814.688451
1.98,62500,275.9351442,2747.252747,609.8150959,125000,551.8702884,2717.063157,1829.445288
1.99,125000,276.8541615,2762.430939,614.7942868,250000,553.7083231,2747.16889,1844.38286
